実施_年月日,全国地方公共団体コード,都道府県名,市区町村名,検査実施_件数,備考,【参考】件数（県）
2020-5-10,431001,熊本県,熊本市,23,,
2020-5-11,430005,熊本県,-,12,熊本市以外,12
2020-5-11,431001,熊本県,熊本市,11,,
2020-5-12,430005,熊本県,-,16,熊本市以外,16
2020-5-12,431001,熊本県,熊本市,29,,
2020-5-13,430005,熊本県,-,13,熊本市以外,13
2020-5-13,431001,熊本県,熊本市,18,,
2020-5-14,430005,熊本県,-,16,熊本市以外,16
2020-5-14,431001,熊本県,熊本市,17,,
2020-5-15,430005,熊本県,-,12,熊本市以外,12
2020-5-15,431001,熊本県,熊本市,22,,
2020-5-16,430005,熊本県,-,6,熊本市以外,6
2020-5-16,431001,熊本県,熊本市,29,,
2020-5-17,430005,熊本県,-,9,熊本市以外,9
2020-5-17,431001,熊本県,熊本市,7,,
2020-5-18,430005,熊本県,-,2,熊本市以外,2
2020-5-18,431001,熊本県,熊本市,12,,
2020-5-19,430005,熊本県,-,8,熊本市以外,8
2020-5-19,431001,熊本県,熊本市,15,,
2020-5-20,430005,熊本県,-,5,熊本市以外,5
2020-5-20,431001,熊本県,熊本市,17,,
2020-5-21,430005,熊本県,-,5,熊本市以外,5
2020-5-21,431001,熊本県,熊本市,15,,
2020-5-22,430005,熊本県,-,5,熊本市以外,5
2020-5-22,431001,熊本県,熊本市,10,,
2020-5-23,430005,熊本県,-,5,熊本市以外,5
2020-5-23,431001,熊本県,熊本市,11,,
2020-5-24,430005,熊本県,-,1,熊本市以外,1
2020-5-24,431001,熊本県,熊本市,4,,
2020-5-25,430005,熊本県,-,4,熊本市以外,4
2020-5-25,431001,熊本県,熊本市,3,,
2020-5-26,430005,熊本県,-,5,熊本市以外,5
2020-5-26,431001,熊本県,熊本市,10,,
2020-5-27,430005,熊本県,-,3,熊本市以外,3
2020-5-27,431001,熊本県,熊本市,4,,
